ScientificName,latitude,longitude
Acanthogorgia armata,35,-75
Acanthogorgia armata,44,-60
Acanthogorgia armata,43,-60
Acanthogorgia armata,44,-59
Anthomastus grandiflorus,44,-58
Anthomastus grandiflorus,35,-75
Anthomastus grandiflorus,37,-74
Anthomastus grandiflorus,43,-60
Anthomastus grandiflorus,44,-59
Anthomastus grandiflorus,38,-73
Anthomastus grandiflorus,39,-64
Anthomastus grandiflorus,40,-67
Anthothela grandiflora,44,-58
Anthothela grandiflora,43,-64
Clavularia modesta,45,-58
Clavularia modesta,44,-63
Clavularia modesta,43,-51
Clavularia modesta,45,-55
Dasmosmilia lymani,37,-74
Dasmosmilia lymani,40,-70
Dasmosmilia lymani,40,-71
Distichoptilum gracile,38,-74
Distichoptilum gracile,39,-72
Distichoptilum gracile,36,-75
Distichoptilum gracile,37,-74
Flabellum (Ulocyathus) alabastrum,40,-67
Flabellum (Ulocyathus) alabastrum,44,-57
Flabellum (Ulocyathus) alabastrum,40,-71
Stephanocyathus (Stephanocyathus) diadema,39,-70
Stephanocyathus (Stephanocyathus) diadema,37,-74
Keratoisis grayi,40,-67
Keratoisis grayi,40,-69
Lepidisis caryophyllia,39,-71
Lepidisis caryophyllia,40,-72
Lepidisis caryophyllia,39,-70
Lepidisis caryophyllia,39,-69
Lepidisis caryophyllia,40,-71
Lepidisis caryophyllia,40,-69
Paragorgia arborea,40,-67
Paragorgia arborea,38,-61
Paragorgia arborea,45,-57
Paragorgia arborea,42,-63
Paramuricea placomus,42,-66
Paramuricea placomus,40,-69
Radicipes gracilis,40,-67
Radicipes gracilis,39,-70
Radicipes gracilis,40,-72
Swiftia casta,32,-78
Flabellum,40,-69
Flabellum,40,-67
Flabellum,41,-67
Flabellum,42,-66
Flabellum,40,-70
Dasmosmilia,40,-69
Anthomastus agassizii,41,-66
Anthomastus grandiflorus,41,-66
Acanthogorgia armata,41,-66
Stephanocyathus (Stephanocyathus) diadema,41,-66
Duva florida,41,-66
Paramuricea grandis,41,-66
Desmophyllum dianthus,41,-66
Paragorgia arborea,40,-68
Anthomastus grandiflorus,40,-68
Anthomastus agassizii,40,-68
Duva florida,40,-68
Javania cailleti,40,-68
Trachythela rudis,40,-68
Anthothela grandiflora,40,-68
Acanthogorgia armata,40,-68
Paramuricea grandis,40,-68
Acanella arbuscula,40,-68
Desmophyllum dianthus,40,-68
Lophelia pertusa,40,-68
Primnoa resedaeformis,40,-68
Acanthogorgia armata,37,-75
Flabellum,37,-75
Flabellum,37,-74
Desmophyllum dianthus,37,-75
Anthomastus grandiflorus,40,-71
Paramuricea grandis,40,-71
Flabellum,40,-71
Drifa glomerata,40,-68
Distichoptilum gracile,40,-68
Anthomastus grandiflorus,38,-74
Flabellum (Ulocyathus) alabastrum,38,-74
Duva florida,38,-74
Paragorgia arborea,38,-74
Anthothela grandiflora,38,-74
Acanthogorgia armata,38,-74
Primnoa resedaeformis,38,-74
Dasmosmilia lymani,38,-74
Flabellum (Ulocyathus) alabastrum,39,-72
Gersemia fruticosa,39,-72
Anthomastus grandiflorus,39,-72
Acanthogorgia armata,39,-72
Desmophyllum dianthus,39,-72
Anthomastus agassizii,39,-72
Paramuricea grandis,39,-72
Acanella arbuscula,39,-72
Acanella arbuscula,38,-73
Acanella arbuscula,40,-69
Acanella arbuscula,43,-64
Acanthogorgia armata,42,-66
Acanthogorgia armata,40,-69
Anthomastus grandiflorus,43,-64
Anthomastus grandiflorus,40,-69
Anthothela grandiflora,42,-66
Anthothela grandiflora,40,-69
Chrysogorgia agassizii,41,-66
Clavularia modesta,42,-70
Trachythela rudis,44,-58
Distichoptilum gracile,38,-73
Distichoptilum gracile,40,-67
Duva florida,44,-52
Duva florida,43,-51
Duva florida,43,-52
Duva florida,45,-52
Duva florida,44,-59
Duva florida,44,-58
Duva florida,45,-57
Drifa glomerata,45,-55
Drifa glomerata,45,-59
Flabellum (Ulocyathus) alabastrum,43,-51
Flabellum (Ulocyathus) alabastrum,37,-74
Flabellum (Ulocyathus) alabastrum,40,-72
Flabellum (Ulocyathus) alabastrum,40,-70
Flabellum (Ulocyathus) angulare,39,-70
Flabellum (Ulocyathus) angulare,39,-71
Flabellum (Ulocyathus) angulare,40,-68
Keratoisis grayi,44,-58
Keratoisis grayi,43,-61
Lepidisis caryophyllia,38,-71
Lepidisis caryophyllia,40,-67
Lepidisis caryophyllia,39,-68
Lepidisis caryophyllia,41,-65
Paragorgia arborea,44,-57
Paragorgia arborea,44,-59
Paramuricea placomus,45,-57
Paramuricea placomus,43,-60
Paramuricea placomus,44,-59
Paramuricea placomus,44,-58
Paramuricea grandis,44,-58
Paramuricea grandis,43,-61
Primnoa resedaeformis,45,-59
Primnoa resedaeformis,43,-60
Radicipes gracilis,39,-68
Radicipes gracilis,39,-69
Swiftia casta,40,-70
Swiftia casta,40,-69
Duva florida,40,-70
Balticina finmarchica,40,-70
Paragorgia arborea,43,-68
Paramuricea,43,-68
Paramuricea,44,-68
Primnoa resedaeformis,44,-68
Primnoa resedaeformis,42,-67
Pennatula aculeata,43,-68
Paragorgia arborea,41,-66
Paragorgia arborea,40,-69
Primnoa resedaeformis,43,-68
Primnoa resedaeformis,41,-66
Paramuricea,41,-66
Pennatula aculeata,40,-69
Pennatula aculeata,44,-58
Primnoa resedaeformis,44,-57
Primnoa resedaeformis,45,-57
Acanthogorgia armata,44,-58
Anthomastus agassizii,44,-59
Pennatula aculeata,42,-51
Anthomastus grandiflorus,45,-57
Pennatula aculeata,44,-53
Gersemia rubiformis,42,-70
Balticina finmarchica,43,-60
Balticina finmarchica,45,-57
Pennatula aculeata,40,-70
Flabellum (Ulocyathus) alabastrum,45,-56
Anthomastus agassizii,44,-55
Anthoptilum grandiflorum,44,-59
Ptilella grandis,43,-60
Plumarella  (Plumarella) pourtalesii,32,-78
Trochocyathus (Trochocyathus) rawsonii,24,-88
Stephanocyathus (Odontocyathus) coronatus,18,-64
Anomocora prolifera,11,-62
Eguchipsammia cornucopia,11,-62
Thalamophyllia riisei,14,-61
Stylopathes columnaris,12,-60
Stylopathes adinocrada,13,-61
Cirrhipathes spiralis,13,-61
Tanacetipathes tanacetum,13,-61
Elatopathes abietina,13,-61
Caryophyllia (Caryophyllia) ambrosia caribbeana,40,-71
Pennatula aculeata,40,-71
Gersemia fruticosa,39,-71
Gersemia fruticosa,38,-71
Pennatula aculeata,42,-66
Kophobelemnon stelliferum,37,-74
Deltocyathus calcar,23,-83
Anomocora fecunda,26,-84
Coenosmilia arbuscula,26,-84
Balanophyllia (Balanophyllia) dineta,11,-62
Javania cailleti,13,-60
Enallopsammia rostrata,12,-62
Madrepora oculata,13,-61
Solenosmilia variabilis,14,-61
Dendrophyllia alternata,14,-61
Peponocyathus folliculus,24,-82
Scleroptilum grandiflorum,38,-73
Gersemia fruticosa,38,-73
Flabellum (Ulocyathus) alabastrum,36,-75
Flabellum (Ulocyathus) angulare,38,-73
Pennatula aculeata,38,-74
Dasmosmilia lymani,39,-72
Balticina finmarchica,40,-71
Pennatula aculeata,36,-75
Ptilella grandis,40,-71
Ptilella grandis,36,-75
Anthoptilum grandiflorum,36,-75
Pennatula aculeata,41,-66
Clavularia modesta,42,-66
Antipathes,23,-82
Caryophyllia (Caryophyllia) ambrosia caribbeana,15,-64
Stephanocyathus (Stephanocyathus) diadema,15,-69
Telestula tubaria,15,-64
Stephanocyathus (Odontocyathus) coronatus,15,-64
Callogorgia gracilis,11,-62
Callogorgia gracilis,20,-76
Sclerobelemnon theseus,11,-62
Renilla,11,-62
Coenosmilia arbuscula,20,-76
Stylaster roseus,10,-80
Lepidopora glabra,23,-82
Balanophyllia (Balanophyllia) palifera,23,-82
Stylaster roseus,18,-76
Stereonephthya portoricensis,23,-82
Stylaster duchassaingi,23,-82
Madrepora carolina,23,-82
Caryophyllia (Caryophyllia) berteriana,23,-82
Distichopora sulcata,23,-82
Antipathidae,23,-82
Stylopathes columnaris,23,-82
Tanacetipathes tanacetum,23,-82
Pseudodrifa nigra,23,-82
Thesea parviflora,23,-82
Swiftia exserta,10,-76
Tanacetipathes barbadensis,23,-82
Tanacetipathes thamnea,23,-82
Pliobothrus tubulatus,23,-82
Thalamophyllia riisei,23,-82
Stephanocyathus (Stephanocyathus) paliferus,10,-76
Stichopathes,38,-74
Scleranthelia rugosa var. musiva,38,-74
Fungiacyathus (Bathyactis) symmetricus,14,-81
Scleroptilum,12,-69
Anthoptilum murrayi,40,-70
Funiculina armata,40,-70
Protoptilum carpenteri,39,-72
Funiculina armata,39,-72
Ptilella grandis,40,-72
Pennatula aculeata,40,-72
Caryophyllia (Caryophyllia) ambrosia caribbeana,40,-72
Desmophyllum dianthus,40,-69
Caryophyllia (Caryophyllia) ambrosia ambrosia,40,-71
Caryophyllia (Caryophyllia) ambrosia ambrosia,40,-70
Kophobelemnon stelliferum,39,-72
Kophobelemnon stelliferum,40,-70
Scleroptilum grandiflorum,39,-71
Kophobelemnon stelliferum,38,-73
Anthomastus agassizii,38,-73
Flabellum (Ulocyathus) alabastrum,38,-73
Keratoisididae,38,-73
Anthoptilum murrayi,40,-71
Funiculina armata,40,-71
Balticina finmarchica,40,-69
Funiculina armata,40,-72
Protoptilum carpenteri,38,-73
Distichoptilum gracile,40,-71
Distichoptilum gracile,39,-71
Anthoptilum murrayi,40,-72
Flabellum (Ulocyathus) macandrewi,40,-69
Telesto nelleae,35,-75
Anthoptilum murrayi,39,-70
Funiculina armata,39,-70
Anthoptilum grandiflorum,40,-69
Anthoptilum murrayi,40,-69
Scleroptilum grandiflorum,38,-68
Scleroptilum grandiflorum,39,-69
Scleroptilum grandiflorum,39,-68
Scleroptilum grandiflorum,40,-68
Kophobelemnon stelliferum,39,-69
Kophobelemnon stelliferum,39,-70
Kophobelemnon stelliferum,38,-68
Gersemia fruticosa,40,-68
Gersemia fruticosa,40,-67
Gersemia fruticosa,39,-68
Pennatula aculeata alba,40,-71
Pennatula aculeata rosea,40,-71
Gersemia fruticosa,39,-70
Protoptilum carpenteri,41,-66
Protoptilum carpenteri,40,-67
Pennatula aculeata,42,-68
Stylatula elegans,33,-78
Stichopathes,24,-82
Coenocyathus parvulus,23,-82
Callogorgia gracilis,23,-82
Distichopathes filix,23,-82
Telesto nelleae,23,-82
Deltocyathus calcar,23,-82
Telesto operculata,23,-82
Stylaster filogranus,23,-82
Anomocora fecunda,23,-82
Scleracis,23,-82
Stylaster aurantiacus,23,-82
Rhizosmilia gerdae,23,-82
Leptogorgia cardinalis,23,-82
Carijoa riisei,23,-82
Placogorgia tribuloides,23,-82
Stylaster laevigatus,23,-82
Deltocyathus pourtalesi,23,-82
Acanthoprimnoa goesi,23,-82
Stylaster complanatus,23,-82
Madrepora carolina,21,-86
Acanthopathes humilis,23,-82
Madracis myriaster,23,-82
Trochopsammia infundibulum,23,-84
Distichopora yucatanensis,21,-86
Eguchipsammia gaditana,21,-86
Sarcodictyon,21,-86
Umbellula guentheri,28,-88
Stephanocyathus (Stephanocyathus) diadema,29,-88
Deltocyathus italicus,29,-88
Madracis pharensis,29,-88
Telesto flavula,29,-88
Balanophyllia (Balanophyllia) floridana,29,-88
Antipathes lenta,29,-88
Stephanocyathus (Stephanocyathus) diadema,29,-87
Caryophyllia (Caryophyllia) ambrosia caribbeana,29,-87
Funiculina quadrangularis,29,-87
Leptogorgia stheno,29,-87
Deltocyathus calcar,29,-86
Funiculina quadrangularis,29,-85
Leptogorgia medusa,26,-83
Enallopsammia profunda,31,-79
Pseudodrifa nigra,31,-79
Anthomastus agassizii,31,-79
Stylaster erubescens,31,-79
Javania cailleti,31,-79
Madrepora oculata,31,-79
Plumarella  (Plumarella) pourtalesii,31,-79
Eunicella modesta,31,-79
Clavularia modesta,31,-79
Bathypsammia fallosocialis,31,-79
Antipathes lenta,33,-77
Dasmosmilia lymani,33,-77
Dasmosmilia lymani,37,-75
Umbellula lindahli,28,-88
Stichopathes,27,-83
Stylaster duchassaingi,21,-86
Flabellum (Ulocyathus) macandrewi,44,-64
Elatopathes abietina,23,-82
Eunicella,31,-79
Pennatulacea,29,-88
Tanacetipathes hirta,23,-82
Nidalia deichmannae,23,-82
Ptilella grandis,45,-56
Ptilella grandis,41,-67
Ptilella grandis,40,-67
Pennatula aculeata,45,-56
Pennatula aculeata,45,-57
Pennatula aculeata,45,-60
Pennatula aculeata,44,-62
Pennatula aculeata,44,-64
Pennatula aculeata,43,-64
Anthoptilum grandiflorum,45,-56
Drifa glomerata,44,-61
Gersemia rubiformis,45,-59
Gersemia rubiformis,45,-56
Gersemia rubiformis,47,-52
Gersemia rubiformis,46,-54
Alcyonium digitatum,41,-68
Gersemia rubiformis,45,-58
Gersemia rubiformis,43,-51
Gersemia rubiformis,44,-60
Gersemia rubiformis,46,-53
Alcyonium digitatum,45,-56
Anthoptilum grandiflorum,40,-67
Anthoptilum grandiflorum,45,-57
Anthoptilum grandiflorum,43,-51
Umbellula lindahli,40,-65
Umbellula lindahli,41,-66
Scleroptilum grandiflorum,40,-67
Scleroptilum grandiflorum,40,-65
Scleroptilum grandiflorum,40,-66
Kophobelemnon stelliferum,45,-57
Kophobelemnon stelliferum,40,-71
Kophobelemnon stelliferum,41,-66
Drifa glomerata,42,-66
Pennatula aculeata,40,-67
Distichoptilum gracile,41,-66
Primnoa resedaeformis,42,-66
Drifa glomerata,43,-51
Gersemia fruticosa,40,-66
Gersemia fruticosa,45,-56
Flabellum (Ulocyathus) angulare,41,-66
Flabellum (Ulocyathus) alabastrum,41,-66
Flabellum (Ulocyathus) alabastrum,41,-67
Flabellum (Ulocyathus) alabastrum,45,-57
Enallopsammia profunda,41,-66
Anthomastus grandiflorus,42,-66
Anthomastus grandiflorus,39,-71
Anthomastus agassizii,44,-57
Anthomastus grandiflorus,45,-56
Balticina,29,-87
Pennatula aculeata,39,-73
Flabellum (Ulocyathus) macandrewi,39,-73
Flabellum (Ulocyathus) macandrewi,40,-71
Distichoptilum gracile,35,-75
Clavularia modesta,42,-71
Clavularia modesta,43,-65
Clavularia modesta,43,-66
Deltocyathus italicus,29,-87
Pennatula,41,-66
Distichoptilum,40,-71
Swiftia casta,32,-79
Pliobothrus symmetricus,32,-79
Anthomastus,31,-80
Pseudodrifa nigra,31,-80
Plumarella  (Plumarella) pourtalesii,31,-80
Stylaster,31,-79
Plumarella  (Plumarella) pourtalesii,30,-80
Eunicella modesta,31,-80
Clavularia modesta,31,-80
Keratoisis,31,-79
Bathypsammia fallosocialis,31,-80
Madrepora oculata,31,-80
Bathypsammia tintinnabulum,30,-80
Anthoptilum grandiflorum,33,-77
Kophobelemnon,33,-77
Gyrophyllum hirondellei,28,-78
Eunicella modesta,29,-80
Anthoptilum murrayi,28,-78
Funiculina quadrangularis,29,-79
Eunicella modesta,30,-80
Anthoptilum,29,-79
Gyrophyllum hirondellei,28,-79
Stephanocyathus (Stephanocyathus) laevifundus,28,-79
Flabellum (Ulocyathus) alabastrum,33,-77
Stephanocyathus (Stephanocyathus) diadema,33,-77
Bathypsammia tintinnabulum,33,-77
Keratoisis,29,-80
Umbellula,29,-80
Anthomastus agassizii,30,-80
Telesto sanguinea,25,-80
Paracyathus pulchellus,24,-77
Bathypsammia tintinnabulum,28,-79
Pseudodrifa nigra,29,-80
Anthomastus agassizii,29,-80
Plumarella  (Plumarella) pourtalesii,29,-80
Thecopsammia socialis,29,-80
Gersemia fruticosa,30,-80
Javania cailleti,30,-80
Funiculina quadrangularis,28,-79
Flabellum (Flabellum) atlanticum,27,-78
Stephanocyathus (Stephanocyathus) laevifundus,28,-78
Bathypsammia tintinnabulum,29,-79
Stephanocyathus (Odontocyathus) coronatus,28,-78
Tanacetipathes hirta,24,-77
Stylopathes columnaris,27,-78
Stichopathes,24,-77
Pennatula aculeata,44,-59
Kophobelemnon stelliferum,45,-56
Clavularia modesta,44,-59
Alcyonium digitatum,44,-59
Kophobelemnon stelliferum,40,-68
Protoptilum carpenteri,40,-68
Pennatula aculeata,40,-68
Flabellum (Ulocyathus) alabastrum,40,-68
Clavularia modesta,47,-45
Duva florida,47,-45
Umbellula lindahli,38,-70
Gersemia fruticosa,38,-72
Umbellula,38,-70
Pennatula aculeata,39,-70
Flabellum (Ulocyathus) alabastrum,37,-75
Flabellum (Ulocyathus) angulare,37,-74
Ptilella grandis,37,-74
Gersemia fruticosa,37,-74
Funiculina armata,37,-74
Scleroptilum grandiflorum,37,-74
Distichoptilum gracile,37,-75
Anthomastus grandiflorus,36,-75
Kophobelemnon stelliferum,36,-75
Anthoptilum murrayi,37,-74
Umbellula lindahli,37,-74
Enallopsammia profunda,29,-80
Ptilella grandis,44,-49
Madrepora oculata,29,-80
Madrepora oculata,30,-80
Distichopora contorta,23,-82
Umbellula lindahli,36,-75
Distichopora uniserialis,23,-82
Distichopora foliacea,32,-79
Crypthelia floridana,29,-80
Errina cochleata,23,-82
Lepidopora biserialis,23,-82
Lepidotheca pourtalesi,23,-82
Errina,23,-82
Lepidopora,23,-82
Stylaster erubescens,29,-80
Stylaster roseus,23,-82
Stylaster,25,-83
Stylaster,23,-82
Stylaster complanatus,32,-79
Stylaster roseus,26,-84
Stylaster,26,-84
Javania cailleti,31,-80
Thalamophyllia riisei,20,-76
Javania cailleti,23,-82
Javania cailleti,29,-80
Deltocyathus calcar,20,-76
Fungiacyathus (Bathyactis) symmetricus,23,-82
Balanophyllia (Balanophyllia) floridana,29,-87
Balanophyllia (Balanophyllia) cyathoides,23,-82
Balanophyllia (Balanophyllia) cyathoides,21,-86
Premocyathus cornuformis,29,-79
Caryophyllia,21,-86
Trochocyathus (Trochocyathus) fasciatus,21,-86
Bathypsammia tintinnabulum,31,-80
Thecopsammia socialis,31,-80
Thecopsammia socialis,30,-80
Polycyathus mayae,23,-82
Balanophyllia,23,-82
Madracis,23,-82
Madrepora carolina,29,-80
Enallopsammia profunda,31,-80
Protoptilum carpenteri,38,-74
Protoptilum carpenteri,40,-71
Kophobelemnon,38,-74
Tanacetipathes tanacetum,11,-62
Telesto nelleae,35,-76
Titanideum frauenfeldii,35,-75
Renilla,35,-76
Renilla reniformis,35,-76
Renilla,34,-76
Anthoptilum murrayi,32,-77
Ptilella grandis,43,-61
Umbellula lindahli,39,-69
Balticina finmarchica,43,-61
Balticina finmarchica,44,-63
Anthoptilum grandiflorum,43,-60
Ptilella grandis,44,-63
Balticina finmarchica,44,-53
Balticina finmarchica,43,-53
Anthomastus agassizii,31,-80
Clavularia cf. rudis,31,-79
Acanthogorgia armata,44,-57
Anthomastus agassizii,42,-66
Anthomastus agassizii,43,-60
Anthomastus agassizii,44,-58
Balticina finmarchica,42,-66
Funiculina armata,40,-69
Ptilella grandis,40,-69
Ptilella grandis,41,-66
Scleroptilum,40,-70
Pennatula aculeata rosea,38,-74
Acanella,40,-68
Pennatula,40,-71
Umbellula,38,-71
Pennatula,36,-75
Ptilella grandis,43,-53
Pennatula aculeata,44,-49
Pennatula aculeata,43,-60
Pennatula aculeata,44,-60
Pennatula aculeata,43,-63
Balanophyllia (Balanophyllia) floridana,35,-75
Enallopsammia profunda,33,-77
Clavularia modesta,43,-70
Clavularia modesta,43,-71
Pennatula aculeata,37,-74
Kophobelemnon stelliferum,40,-72
Distichoptilum gracile,40,-72
Anthomastus grandiflorus,40,-72
Protoptilum carpenteri,40,-70
Gersemia fruticosa,37,-73
Alcyonium digitatum,45,-66
Duva florida,43,-61
Gersemia rubiformis,44,-59
Gersemia rubiformis,44,-61
